op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
Square,100,1,0.11379,0.0011379,0.0821867
Sub,100,1,0.12743,0.0012743,0.0920385
ApplyMomentum,200,2,0.09094,0.0004547,0.0656829
MatMul,200,2,0.38486,0.0019243,0.277972
ReduceMean,100,1,0.28952,0.0028952,0.209111
BiasAdd,100,1,0.16279,0.0016279,0.117578
Mul,100,1,0.11247,0.0011247,0.0812334
BiasAddGrad,100,1,0.10273,0.0010273,0.0741985
